venue,type,place,website,newsletter_signup_url,contact_email,likely_email_guess,remy_subscribed,emma_subscribed,method,notes
Flinders Sourdough,bakery,flinders,https://flinderssourdough.com.au,,,info@flinderssourdough.com.au,,,,
Johnny Ripe,bakery,main-ridge,https://johnnyripe.com.au,,,info@johnnyripe.com.au,,,,
Jetty Road Brewery,brewery,dromana,https://www.jettyroad.com.au,,,info@jettyroad.com.au,,,,
Mornington Peninsula Brewery,brewery,mornington,https://mpbrew.com.au,,,info@mpbrew.com.au,,,,
Red Hill Brewery,brewery,red-hill,https://redhillbrewery.com.au,,,info@redhillbrewery.com.au,,,,
St Andrews Beach Brewery,brewery,rye,https://www.standrewsbeachbrewery.com.au,,,info@standrewsbeachbrewery.com.au,,,,
Two Bays Brewing Co,brewery,dromana,https://twobaysbrewingco.com.au,,,info@twobaysbrewingco.com.au,,,,
Afloat Mornington,cafe,mornington,https://afloatmornington.com.au,,,info@afloatmornington.com.au,,,,
Barmah Park Farm Kitchen,cafe,moorooduc,https://www.barmahpark.com.au,,,info@barmahpark.com.au,,,,
Commonfolk Coffee,cafe,mornington,https://commonfolkcoffee.com.au,,,info@commonfolkcoffee.com.au,,,,
Flinders General Store,cafe,flinders,https://flindersgeneralstore.com.au,,,info@flindersgeneralstore.com.au,,,,
Georgie Bass Cafe & Cookery,cafe,flinders,https://www.georgiebass.com.au,,,info@georgiebass.com.au,,,,
Ouest France Bistro,cafe,mornington,https://www.ouestfrance.com.au,,,info@ouestfrance.com.au,,,,
Rocker,cafe,mornington,https://rockercoffee.com.au,,,info@rockercoffee.com.au,,,,
Small Stone Pantry,cafe,dromana,https://smallstonepantry.com.au,,,info@smallstonepantry.com.au,,,,
Somers General,cafe,balnarring,https://somersgeneral.com.au,,,info@somersgeneral.com.au,,,,
Store Ten,cafe,mornington,https://storeten.com.au,,,info@storeten.com.au,,,,
Stringer's of Mornington,cafe,mornington,https://stringers.net.au,,,info@stringers.net.au,,,,
Arthurs Views,cottage,dromana,https://arthursviews.com.au,,,info@arthursviews.com.au,,,,
Birch Creek,cottage,red-hill,https://www.birchcreek.com.au,,,info@birchcreek.com.au,,,,
